SeriesID,GeoAreaCode,GeoAreaName
1778,4,Afghanistan
1778,248,Åland Islands
1778,8,Albania
1778,12,Algeria
1778,16,American Samoa
1778,20,Andorra
1778,24,Angola
1778,660,Anguilla
1778,28,Antigua and Barbuda
1778,32,Argentina
1778,51,Armenia
1778,533,Aruba
1778,36,Australia
1778,40,Austria
1778,31,Azerbaijan
1778,44,Bahamas
1778,48,Bahrain
1778,50,Bangladesh
1778,52,Barbados
1778,112,Belarus
1778,56,Belgium
1778,84,Belize
1778,204,Benin
1778,60,Bermuda
1778,64,Bhutan
1778,68,Bolivia (Plurinational State of)
1778,535,"Bonaire, Sint Eustatius and Saba"
1778,70,Bosnia and Herzegovina
1778,72,Botswana
1778,76,Brazil
1778,86,British Indian Ocean Territory
1778,92,British Virgin Islands
1778,96,Brunei Darussalam
1778,100,Bulgaria
1778,854,Burkina Faso
1778,108,Burundi
1778,132,Cabo Verde
1778,116,Cambodia
1778,120,Cameroon
1778,124,Canada
1778,136,Cayman Islands
1778,140,Central African Republic
1778,148,Chad
1778,830,Channel Islands
1778,152,Chile
1778,156,China
1778,344,"China, Hong Kong Special Administrative Region"
1778,446,"China, Macao Special Administrative Region"
1778,162,Christmas Island
1778,166,Cocos (Keeling) Islands
1778,170,Colombia
1778,174,Comoros
1778,178,Congo
1778,184,Cook Islands
1778,188,Costa Rica
1778,384,Côte d'Ivoire
1778,191,Croatia
1778,192,Cuba
1778,531,Curaçao
1778,196,Cyprus
1778,203,Czechia
1778,408,Democratic People's Republic of Korea
1778,180,Democratic Republic of the Congo
1778,208,Denmark
1778,262,Djibouti
1778,212,Dominica
1778,214,Dominican Republic
1778,218,Ecuador
1778,818,Egypt
1778,222,El Salvador
1778,226,Equatorial Guinea
1778,232,Eritrea
1778,233,Estonia
1778,231,Ethiopia
1778,238,Falkland Islands (Malvinas)
1778,234,Faroe Islands
1778,242,Fiji
1778,246,Finland
1778,250,France
1778,254,French Guiana
1778,258,French Polynesia
1778,260,French Southern and Antarctic Territories
1778,266,Gabon
1778,270,Gambia
1778,268,Georgia
1778,276,Germany
1778,288,Ghana
1778,292,Gibraltar
1778,300,Greece
1778,304,Greenland
1778,308,Grenada
1778,312,Guadeloupe
1778,316,Guam
1778,320,Guatemala
1778,831,Guernsey
1778,324,Guinea
1778,624,Guinea-Bissau
1778,328,Guyana
1778,332,Haiti
1778,334,Heard Island and McDonald Islands
1778,336,Holy See
1778,340,Honduras
1778,348,Hungary
1778,352,Iceland
1778,356,India
1778,360,Indonesia
1778,364,Iran (Islamic Republic of)
1778,368,Iraq
1778,372,Ireland
1778,833,Isle of Man
1778,376,Israel
1778,380,Italy
1778,388,Jamaica
1778,392,Japan
1778,832,Jersey
1778,400,Jordan
1778,398,Kazakhstan
1778,404,Kenya
1778,296,Kiribati
1778,414,Kuwait
1778,417,Kyrgyzstan
1778,418,Lao People's Democratic Republic
1778,428,Latvia
1778,422,Lebanon
1778,426,Lesotho
1778,430,Liberia
1778,434,Libya
1778,438,Liechtenstein
1778,440,Lithuania
1778,442,Luxembourg
1778,450,Madagascar
1778,454,Malawi
1778,458,Malaysia
1778,462,Maldives
1778,466,Mali
1778,470,Malta
1778,584,Marshall Islands
1778,474,Martinique
1778,478,Mauritania
1778,480,Mauritius
1778,175,Mayotte
1778,484,Mexico
1778,583,Micronesia (Federated States of)
1778,492,Monaco
1778,496,Mongolia
1778,499,Montenegro
1778,500,Montserrat
1778,504,Morocco
1778,508,Mozambique
1778,104,Myanmar
1778,516,Namibia
1778,520,Nauru
1778,524,Nepal
1778,528,Netherlands
1778,540,New Caledonia
1778,554,New Zealand
1778,558,Nicaragua
1778,562,Niger
1778,566,Nigeria
1778,570,Niue
1778,574,Norfolk Island
1778,580,Northern Mariana Islands
1778,578,Norway
1778,512,Oman
1778,586,Pakistan
1778,585,Palau
1778,591,Panama
1778,598,Papua New Guinea
1778,600,Paraguay
1778,604,Peru
1778,608,Philippines
1778,612,Pitcairn
1778,616,Poland
1778,620,Portugal
1778,630,Puerto Rico
1778,634,Qatar
1778,410,Republic of Korea
1778,498,Republic of Moldova
1778,638,Réunion
1778,642,Romania
1778,643,Russian Federation
1778,646,Rwanda
1778,652,Saint Barthélemy
1778,654,Saint Helena
1778,659,Saint Kitts and Nevis
1778,662,Saint Lucia
1778,663,Saint Martin (French Part)
1778,666,Saint Pierre and Miquelon
1778,670,Saint Vincent and the Grenadines
1778,882,Samoa
1778,674,San Marino
1778,678,Sao Tome and Principe
1778,682,Saudi Arabia
1778,686,Senegal
1778,688,Serbia
1778,690,Seychelles
1778,694,Sierra Leone
1778,702,Singapore
1778,534,Sint Maarten (Dutch part)
1778,703,Slovakia
1778,705,Slovenia
1778,90,Solomon Islands
1778,706,Somalia
1778,710,South Africa
1778,239,South Georgia and the South Sandwich Islands
1778,728,South Sudan
1778,724,Spain
1778,144,Sri Lanka
1778,275,State of Palestine
1778,729,Sudan
1778,740,Suriname
1778,744,Svalbard and Jan Mayen Islands
1778,748,Eswatini
1778,752,Sweden
1778,756,Switzerland
1778,760,Syrian Arab Republic
1778,762,Tajikistan
1778,764,Thailand
1778,807,Republic of North Macedonia
1778,626,Timor-Leste
1778,768,Togo
1778,772,Tokelau
1778,776,Tonga
1778,780,Trinidad and Tobago
1778,788,Tunisia
1778,792,Turkey
1778,795,Turkmenistan
1778,796,Turks and Caicos Islands
1778,798,Tuvalu
1778,800,Uganda
1778,804,Ukraine
1778,784,United Arab Emirates
1778,826,United Kingdom of Great Britain and Northern Ireland
1778,834,United Republic of Tanzania
1778,581,United States minor outlying islands
1778,840,United States of America
1778,850,United States Virgin Islands
1778,858,Uruguay
1778,860,Uzbekistan
1778,548,Vanuatu
1778,862,Venezuela (Bolivarian Republic of)
1778,704,Viet Nam
1778,876,Wallis and Futuna Islands
1778,732,Western Sahara
1778,887,Yemen
1778,894,Zambia
1778,716,Zimbabwe
